delta Time, Unix Time, pr1, pr2, pr3, pr4, pr5, label
3.71697092056,1579541053.46,520,873,609,616,465,extend,
3.71737790108,1579541053.46,525,874,610,618,4,extend,
3.71786093712,1579541053.46,513,868,603,603,446,extend,
3.71830105782,1579541053.46,513,870,604,610,448,extend,
3.71873688698,1579541053.46,516,871,606,616,453,extend,
3.71917510033,1579541053.46,517,872,607,617,458,extend,
3.71961092949,1579541053.46,520,873,609,616,465,extend,
3.72034311295,1579541053.46,525,874,610,618,4526,extend,
3.72079610825,1579541053.46,526,886,630,642,477,extend,
3.72123193741,1579541053.47,525,886,629,642,478,extend,
3.72160696983,1579541053.47,525,886,630,641,477,extend,
3.72177290916,1579541053.47,524,886,630,640,475,extend,
3.72194099426,1579541053.47,523,886,629,638,474,extend,
3.72210097313,1579541053.47,524,886,630,639,475,extend,
3.72226500511,1579541053.47,524,887,630,641,475,extend,
3.72242498398,1579541053.47,522,887,630,639,474,extend,
3.7225830555,1579541053.47,522,886,630,637,472,extend,
3.72274208069,1579541053.47,522,887,630,639,472,extend,
3.72289991379,1579541053.47,522,886,630,640,472,extend,
3.72305893898,1579541053.47,521,887,630,638,470,extend,
3.7232170105,1579541053.47,520,886,630,636,468,extend,
3.72337603569,1579541053.47,521,886,630,638,470,extend,
3.72353601456,1579541053.47,521,886,630,640,469,extend,
3.72369408607,1579541053.47,520,886,630,638,468,extend,
3.72385191917,1579541053.47,520,886,630,637,467,extend,
3.72400999069,1579541053.47,521,886,630,639,468,extend,
3.72416901588,1579541053.47,521,887,630,640,469,extend,
3.72432804108,1579541053.47,520,887,630,638,467,extend,
3.72448706627,1579541053.47,520,886,629,637,467,extend,
3.72464990616,1579541053.47,520,887,630,639,468,extend,
3.72480797768,1579541053.47,520,887,630,639,468,extend,
3.72496604919,1579541053.47,518,886,629,638,466,extend,
3.72512412071,1579541053.47,520,886,629,636,466,extend,
3.72528290749,1579541053.47,520,887,629,639,466,extend,
3.72544193268,1579541053.47,520,887,630,639,467,extend,
3.7256000042,1579541053.47,520,887,630,638,466,extend,
3.72575902939,1579541053.47,519,887,630,636,464,extend,
3.72593307495,1579541053.47,520,886,630,639,466,extend,
3.72609305382,1579541053.47,520,887,630,640,466,extend,
3.72625207901,1579541053.47,519,886,630,637,464,extend,
3.7264111042,1579541053.47,519,886,630,637,465,extend,
3.72656989098,1579541053.47,519,887,630,639,465,extend,
3.72672891617,1579541053.47,519,887,630,639,465,extend,
3.72688794136,1579541053.47,519,886,630,637,465,extend,
3.72709012032,1579541053.47,519,886,630,637,465,extend,
3.72733902931,1579541053.47,520,887,630,639,467,extend,
3.72760510445,1579541053.47,519,886,630,639,466,extend,
3.72781896591,1579541053.47,519,885,630,637,466,extend,
3.72798204422,1579541053.47,519,887,631,637,466,extend,
3.72814106941,1579541053.47,520,887,631,639,467,extend,
3.7283039093,1579541053.47,519,887,631,639,467,extend,
3.72846293449,1579541053.47,519,886,630,637,466,extend,
3.72863197327,1579541053.47,519,887,631,637,467,extend,
3.72879290581,1579541053.47,520,886,631,639,468,extend,
3.72895312309,1579541053.47,520,886,630,639,467,extend,
3.72911190987,1579541053.47,519,886,630,637,466,extend,
3.72927093506,1579541053.47,520,887,631,638,467,extend,
3.72943091393,1579541053.47,520,887,631,640,467,extend,
3.72958993912,1579541053.47,520,887,631,639,468,extend,
3.72974801064,1579541053.47,519,886,631,637,467,extend,
3.72990703583,1579541053.47,520,886,631,638,467,extend,
3.73008298874,1579541053.47,521,887,631,640,470,extend,
3.73025989532,1579541053.47,520,887,631,639,468,extend,
3.73042106628,1579541053.47,519,886,631,637,468,extend,
3.73058009148,1579541053.47,520,887,631,638,468,extend,
3.73073792458,1579541053.47,521,887,631,639,469,extend,
3.73089599609,1579541053.47,520,887,631,639,469,extend,
3.73105311394,1579541053.47,520,887,631,637,469,extend,
3.73121094704,1579541053.48,520,887,631,639,469,extend,
3.73136901855,1579541053.48,521,887,631,640,471,extend,
3.73153710365,1579541053.48,520,887,631,639,470,extend,
3.73168897629,1579541053.48,520,886,631,638,469,extend,
3.73183989525,1579541053.48,521,887,631,638,470,extend,
3.7320189476,1579541053.48,521,887,631,641,471,extend,
3.73217201233,1579541053.48,520,886,631,638,469,extend,
3.73232412338,1579541053.48,520,887,631,637,469,extend,
3.73247408867,1579541053.48,521,888,632,639,470,extend,
3.73263597488,1579541053.48,522,887,631,641,471,extend,
3.73278903961,1579541053.48,520,887,631,639,470,extend,
3.73294210434,1579541053.48,521,887,632,637,470,extend,
3.73309397697,1579541053.48,521,887,632,640,471,extend,
3.73324608803,1579541053.48,521,887,632,640,470,extend,
3.73339891434,1579541053.48,520,887,631,639,469,extend,
3.73355007172,1579541053.48,520,887,631,637,468,extend,
3.73370194435,1579541053.48,521,887,632,639,470,extend,
3.73385310173,1579541053.48,521,887,632,640,471,extend,
3.73400497437,1579541053.48,520,887,632,639,470,extend,
3.73416996002,1579541053.48,519,886,632,638,469,extend,
3.73432302475,1579541053.48,521,887,632,640,471,extend,
3.73447489738,1579541053.48,521,887,632,641,471,extend,
3.73462796211,1579541053.48,520,887,632,638,470,extend,
3.73478007317,1579541053.48,520,887,632,637,469,extend,
3.73493289948,1579541053.48,521,887,632,639,471,extend,
3.7350859642,1579541053.48,520,887,632,640,471,extend,
3.73523902893,1579541053.48,520,887,631,638,470,extend,
3.73539400101,1579541053.48,520,887,632,637,470,extend,
3.73554706573,1579541053.48,520,887,632,639,471,extend,
3.73570108414,1579541053.48,521,888,631,639,471,extend,
3.73585391045,1579541053.48,520,887,632,638,469,extend,
3.73600697517,1579541053.48,520,887,632,638,470,extend,
3.75909304619,1579541053.5,521,887,633,639,471,extend,
3.77933001518,1579541053.52,520,887,632,640,471,extend,
3.8041779995,1579541053.55,520,887,632,637,470,extend,
3.82870697975,1579541053.57,520,887,631,638,469,extend,
3.84915208817,1579541053.59,521,888,632,640,471,extend,
3.87366294861,1579541053.62,521,887,632,640,471,extend,
3.89430999756,1579541053.64,520,887,632,638,470,extend,
3.91893911362,1579541053.66,521,888,632,638,471,extend,
3.93908500671,1579541053.68,521,888,633,641,472,extend,
3.96375393867,1579541053.71,521,889,633,640,472,extend,
3.98862600327,1579541053.73,520,888,632,638,470,extend,
4.00902104378,1579541053.75,520,888,633,639,470,extend,
4.03372311592,1579541053.78,521,888,633,641,472,extend,
4.05386710167,1579541053.8,520,888,633,641,471,extend,
4.07855606079,1579541053.82,519,888,633,640,470,extend,
4.10320091248,1579541053.85,521,888,634,639,471,extend,
4.12345790863,1579541053.87,522,885,633,637,473,extend,
4.14839601517,1579541053.89,521,880,629,626,469,extend,
4.16895008087,1579541053.91,519,873,616,600,467,extend,
4.19311499596,1579541053.94,519,865,596,569,464,extend,
4.21778512001,1579541053.96,519,857,575,533,462,extend,
4.2384519577,1579541053.98,519,850,561,503,460,extend,
4.26292395592,1579541054.01,517,845,546,479,458,extend,
4.28320503235,1579541054.03,519,840,540,466,459,extend,
4.30800390244,1579541054.05,518,839,535,461,458,extend,
4.3286280632,1579541054.07,517,836,530,455,457,extend,
4.35312700272,1579541054.1,517,835,528,449,455,extend,
4.37750196457,1579541054.12,518,835,525,446,455,extend,
4.39802098274,1579541054.14,518,834,524,450,455,extend,
4.42243003845,1579541054.17,518,833,520,447,453,extend,
4.44319295883,1579541054.19,516,832,519,444,452,extend,
4.4675450325,1579541054.21,519,833,519,449,453,extend,
4.4923119545,1579541054.24,518,832,517,450,453,extend,
4.51288294792,1579541054.26,517,832,517,450,453,extend,
4.53700995445,1579541054.28,517,832,516,448,451,extend,
4.55778503418,1579541054.3,518,831,515,448,451,extend,
4.58245110512,1579541054.33,518,831,515,453,453,extend,
4.60687303543,1579541054.35,518,831,514,446,451,extend,
4.62723302841,1579541054.37,516,830,515,448,450,extend,
4.65199995041,1579541054.4,518,831,515,451,453,extend,
4.67233896255,1579541054.42,518,830,515,452,453,extend,
4.69703793526,1579541054.44,518,831,513,449,452,extend,
4.71751904488,1579541054.46,517,829,513,449,452,extend,
4.74224305153,1579541054.49,518,831,515,451,451,extend,
4.766685009,1579541054.51,518,830,515,454,454,extend,
