delta Time, Unix Time, pr1, pr2, pr3, pr4, pr5, label
2.57675004005,1577745849.04,444,898,635,651,321,two,
2.57732915878,1577745849.04,445,898,636,653,323,two,
2.57786607742,1577745849.04,445,898,635,652,322,two,
2.57841396332,1577745849.04,444,897,635,651,321,two,
2.57946515083,1577745849.04,442,897,635,651,320,two,
2.57993412018,1577745849.04,444,897,635,652,320,two,
2.58039307594,1577745849.04,444,898,635,652,321,two,
2.58085298538,1577745849.04,445,897,636,651,320,two,
2.5813100338,1577745849.04,446,897,635,652,321,two,
2.58161211014,1577745849.04,445,897,635,652,321,two,
2.58176803589,1577745849.04,444,897,635,651,319,two,
2.58192300797,1577745849.04,442,898,633,651,318,two,
2.58207798004,1577745849.04,445,897,635,651,322,two,
2.58223295212,1577745849.04,446,898,636,652,320,two,
2.58238697052,1577745849.04,444,898,635,652,318,two,
2.58254313469,1577745849.04,445,897,636,652,321,two,
2.58272194862,1577745849.04,446,896,635,654,321,two,
2.5828871727,1577745849.04,445,898,634,653,320,two,
2.58304905891,1577745849.04,443,897,634,651,318,two,
2.58321213722,1577745849.04,444,899,635,651,318,two,
2.58337497711,1577745849.04,443,898,635,652,321,two,
2.58353710175,1577745849.04,444,896,635,651,320,two,
2.58369898796,1577745849.04,443,897,635,652,318,two,
2.58386206627,1577745849.04,445,898,635,653,320,two,
2.58402299881,1577745849.04,446,897,636,653,320,two,
2.58418703079,1577745849.04,444,898,635,653,319,two,
2.58434915543,1577745849.04,443,898,634,651,317,two,
2.58451104164,1577745849.04,443,898,634,652,318,two,
2.58467316628,1577745849.04,444,897,636,654,320,two,
2.58483505249,1577745849.04,443,897,634,653,319,two,
2.58499717712,1577745849.04,443,897,633,652,318,two,
2.58515715599,1577745849.04,445,897,632,652,319,two,
2.58531713486,1577745849.04,445,897,632,653,320,two,
2.58547711372,1577745849.04,444,896,633,652,318,two,
2.58563709259,1577745849.04,443,897,632,651,317,two,
2.58579802513,1577745849.04,443,896,630,652,317,two,
2.58596611023,1577745849.04,444,896,632,653,319,two,
2.58612799644,1577745849.04,444,896,632,653,318,two,
2.5862891674,1577745849.04,442,896,630,652,317,two,
2.58645105362,1577745849.04,445,895,632,653,320,two,
2.58661198616,1577745849.05,445,898,632,654,319,two,
2.58682012558,1577745849.05,443,897,632,652,317,two,
2.58698701859,1577745849.05,443,897,634,651,316,two,
2.58715295792,1577745849.05,443,896,632,653,316,two,
2.5873131752,1577745849.05,444,895,633,654,319,two,
2.59245610237,1577745849.05,443,896,633,653,317,two,
2.61294913292,1577745849.07,443,897,632,652,315,two,
2.63722205162,1577745849.1,444,896,633,653,319,two,
2.65820217133,1577745849.12,444,896,633,653,319,two,
2.68249106407,1577745849.14,442,897,632,652,315,two,
2.70709395409,1577745849.17,442,897,633,652,314,two,
2.72741007805,1577745849.19,444,897,634,653,318,two,
2.75214314461,1577745849.21,443,896,633,654,318,two,
2.77268409729,1577745849.23,443,896,633,653,317,two,
2.79715204239,1577745849.26,443,896,633,652,317,two,
2.81768298149,1577745849.28,445,897,633,653,320,two,
2.8423409462,1577745849.3,444,897,633,653,319,two,
2.86672210693,1577745849.33,443,897,634,652,316,two,
2.88710713387,1577745849.35,442,897,633,652,315,two,
2.9119720459,1577745849.37,443,896,633,653,317,two,
2.93251299858,1577745849.39,444,896,634,654,319,two,
2.95672798157,1577745849.42,443,897,633,653,317,two,
2.9812669754,1577745849.44,443,897,632,652,317,two,
3.00199604034,1577745849.46,445,897,634,654,320,two,
3.02672195435,1577745849.49,444,897,633,653,319,two,
3.04679703712,1577745849.51,442,896,632,650,316,two,
3.07143306732,1577745849.53,443,895,630,649,316,two,
3.09616303444,1577745849.55,442,893,627,645,317,two,
3.11679005623,1577745849.58,441,890,621,641,315,two,
3.14099311829,1577745849.6,441,887,612,637,313,two,
3.16196393967,1577745849.62,440,885,603,631,312,two,
3.18636012077,1577745849.64,441,882,597,627,313,two,
3.20652699471,1577745849.67,440,879,590,622,311,two,
3.23131108284,1577745849.69,439,876,584,618,307,two,
3.25576615334,1577745849.71,440,875,581,617,307,two,
3.27645611763,1577745849.73,441,875,578,617,308,two,
3.30095505714,1577745849.76,439,874,575,615,307,two,
3.32150197029,1577745849.78,439,873,575,611,306,two,
3.34625315666,1577745849.8,441,874,575,612,306,two,
3.37050104141,1577745849.83,441,874,574,614,309,two,
3.39092111588,1577745849.85,440,874,573,612,308,two,
3.41574406624,1577745849.87,439,874,571,611,305,two,
3.43617415428,1577745849.89,440,874,571,611,305,two,
3.46043896675,1577745849.92,440,874,569,612,307,two,
3.48503398895,1577745849.94,440,874,569,610,306,two,
3.50588917732,1577745849.96,438,875,567,609,304,two,
3.53044104576,1577745849.99,440,873,567,608,306,two,
3.55046701431,1577745850.01,442,874,567,610,307,two,
3.575122118,1577745850.03,440,875,566,609,306,two,
3.59593105316,1577745850.05,440,874,565,608,304,two,
3.62051510811,1577745850.08,440,874,565,610,306,two,
3.64491009712,1577745850.1,441,874,564,610,306,two,
3.66547012329,1577745850.12,439,874,564,609,305,two,
3.69018101692,1577745850.15,439,875,564,608,305,two,
3.71034502983,1577745850.17,439,875,564,609,306,two,
3.73494410515,1577745850.19,440,873,565,609,308,two,
3.75958514214,1577745850.22,440,875,564,609,305,two,
3.77986001968,1577745850.24,440,875,564,609,304,two,
3.80428195,1577745850.26,440,874,563,609,307,two,
3.82494807243,1577745850.28,440,874,562,610,304,two,
3.84956502914,1577745850.31,439,874,563,608,304,two,
3.87407016754,1577745850.33,439,874,563,607,304,two,
3.89494514465,1577745850.35,440,875,563,608,306,two,
3.91921710968,1577745850.38,439,875,563,609,307,two,
3.9399960041,1577745850.4,439,873,563,608,305,two,
3.96423506737,1577745850.42,440,874,562,608,304,two,
3.9889960289,1577745850.45,441,875,564,610,306,two,
4.00966310501,1577745850.47,440,874,564,610,307,two,
4.0339050293,1577745850.49,439,875,564,608,305,two,
4.05446004868,1577745850.51,439,875,564,608,305,two,
4.07928109169,1577745850.54,439,875,564,609,307,two,
4.09978795052,1577745850.56,440,875,564,610,308,two,
4.12405896187,1577745850.58,439,875,564,609,305,two,
4.14855694771,1577745850.61,439,875,563,609,305,two,
4.16935896873,1577745850.63,441,876,563,611,306,two,
4.19393897057,1577745850.65,440,875,563,610,306,two,
4.21414399147,1577745850.67,439,875,564,609,305,two,
4.23885512352,1577745850.7,439,875,563,609,305,two,
4.26322793961,1577745850.72,440,875,564,611,307,two,
4.28411817551,1577745850.74,439,875,564,611,307,two,
4.30820417404,1577745850.77,439,875,564,610,305,two,
4.32913804054,1577745850.79,439,875,564,610,305,two,
4.35373210907,1577745850.81,441,874,564,612,307,two,
4.37787795067,1577745850.84,439,876,562,611,305,two,
4.39879512787,1577745850.86,438,876,564,610,304,two,
4.42314600945,1577745850.88,439,876,564,610,305,two,
4.44382715225,1577745850.9,439,876,564,612,307,two,
4.46800398827,1577745850.93,439,875,565,612,307,two,
4.48868513107,1577745850.95,439,875,564,611,305,two,
4.51329302788,1577745850.97,440,875,564,611,305,two,
4.5379011631,1577745851.0,441,876,565,613,307,two,
4.55813694,1577745851.02,439,877,565,613,305,two,
4.58308911324,1577745851.04,438,878,564,611,303,two,
4.60330605507,1577745851.06,439,878,567,612,306,two,
4.62812304497,1577745851.09,440,878,568,614,307,two,
4.65228509903,1577745851.11,439,879,567,615,306,two,
4.67311501503,1577745851.13,439,878,568,613,306,two,
4.69780397415,1577745851.16,440,878,568,613,307,two,
4.71822404861,1577745851.18,441,878,568,614,308,two,
4.7427740097,1577745851.2,439,878,568,613,306,two,
4.76697611809,1577745851.23,437,878,568,612,304,two,
4.78754806519,1577745851.25,438,878,567,613,306,two,
4.81201314926,1577745851.27,439,878,568,613,306,two,
4.83287405968,1577745851.29,439,878,568,613,307,two,
4.85739612579,1577745851.32,438,878,567,613,306,two,
4.87771010399,1577745851.34,440,877,566,614,308,two,
4.90231013298,1577745851.36,441,878,566,614,308,two,
4.92704916,1577745851.39,439,878,566,613,305,two,
4.94733095169,1577745851.41,437,878,566,612,304,two,
4.97179102898,1577745851.43,439,878,567,613,307,two,
4.99264407158,1577745851.45,437,878,566,614,306,two,
5.01721596718,1577745851.48,438,877,566,613,306,two,
5.04188704491,1577745851.5,440,879,566,614,305,two,
5.06229805946,1577745851.52,440,878,566,616,308,two,
5.08671712875,1577745851.55,440,878,566,615,308,two,
5.10708212852,1577745851.57,439,878,566,614,305,two,
5.13188409805,1577745851.59,438,879,566,613,304,two,
5.15614700317,1577745851.61,439,878,568,616,307,two,
5.1766910553,1577745851.64,439,879,568,616,307,two,
5.20152401924,1577745851.66,437,877,567,616,306,two,
5.22187614441,1577745851.68,439,877,568,615,306,two,
5.24650001526,1577745851.7,441,878,568,617,308,two,
5.2672021389,1577745851.73,440,879,568,618,308,two,
5.29121804237,1577745851.75,439,879,568,615,305,two,
5.31583499908,1577745851.77,438,878,569,615,304,two,
5.33659315109,1577745851.8,439,879,569,618,307,two,
5.36111211777,1577745851.82,439,879,570,618,307,two,
5.38149809837,1577745851.84,438,879,569,617,305,two,
5.40624213219,1577745851.86,438,878,569,617,306,two,
5.43079304695,1577745851.89,440,877,569,617,309,two,
5.45117306709,1577745851.91,441,879,569,618,308,two,
5.47572803497,1577745851.93,439,879,568,616,305,two,
5.49640417099,1577745851.95,438,878,569,615,306,two,
5.52101206779,1577745851.98,440,878,569,617,307,two,
5.54539895058,1577745852.0,439,879,569,616,306,two,
5.56559205055,1577745852.02,438,878,569,616,306,two,
5.59046006203,1577745852.05,440,880,569,616,308,two,
5.61077809334,1577745852.07,440,880,568,617,309,two,
5.63524508476,1577745852.09,440,879,569,616,308,two,
5.65593099594,1577745852.11,439,880,569,615,304,two,
5.68043899536,1577745852.14,438,881,569,616,305,two,
