delta Time, Unix Time, pr1, pr2, pr3, pr4, pr5, label
0.00470519065857,1574042583.68,454,888,664,656,337,fist,
0.00518107414246,1574042583.68,453,888,664,655,333,fist,
0.00567603111267,1574042583.68,455,888,664,655,338,fist,
0.00611305236816,1574042583.68,454,888,664,654,335,fist,
0.00700116157532,1574042583.68,454,888,664,656,336,fist,
0.00743913650513,1574042583.68,454,888,664,656,337,fist,
0.00788402557373,1574042583.68,453,888,664,655,333,fist,
0.00832200050354,1574042583.68,455,888,664,655,338,fist,
0.00875210762024,1574042583.69,454,888,664,654,335,fist,
0.00940299034119,1574042583.69,452,885,665,655,336,fist,
0.00947999954224,1574042583.69,452,885,664,652,334,fist,
0.00955605506897,1574042583.69,451,885,665,655,332,fist,
0.00963711738586,1574042583.69,452,885,664,653,333,fist,
0.00971412658691,1574042583.69,452,886,664,654,335,fist,
0.00979018211365,1574042583.69,451,886,665,655,332,fist,
0.0098671913147,1574042583.69,453,886,665,655,335,fist,
0.00994300842285,1574042583.69,452,886,664,654,335,fist,
0.0100190639496,1574042583.69,450,886,664,655,332,fist,
0.0100951194763,1574042583.69,454,887,665,655,337,fist,
0.0101721286774,1574042583.69,452,887,665,656,334,fist,
0.0102481842041,1574042583.69,452,887,664,657,334,fist,
0.0103240013123,1574042583.69,453,887,665,654,337,fist,
0.010400056839,1574042583.69,452,887,664,654,333,fist,
0.0104751586914,1574042583.69,453,888,664,655,335,fist,
0.0105521678925,1574042583.69,453,888,665,654,336,fist,
0.0106279850006,1574042583.69,452,888,665,654,333,fist,
0.010703086853,1574042583.69,454,888,665,655,336,fist,
0.0107791423798,1574042583.69,452,888,664,654,333,fist,
0.0108551979065,1574042583.69,453,888,665,654,334,fist,
0.0109310150146,1574042583.69,454,888,665,655,337,fist,
0.0110070705414,1574042583.69,452,888,664,654,332,fist,
0.0110831260681,1574042583.69,454,888,665,656,336,fist,
0.0111601352692,1574042583.69,453,888,665,655,335,fist,
0.0112361907959,1574042583.69,452,888,665,655,333,fist,
0.0113120079041,1574042583.69,454,889,666,656,337,fist,
0.0113880634308,1574042583.69,452,888,665,655,334,fist,
0.0114641189575,1574042583.69,452,888,665,655,335,fist,
0.0115401744843,1574042583.69,454,888,666,656,337,fist,
0.0116159915924,1574042583.69,451,888,664,655,333,fist,
0.0116910934448,1574042583.69,453,888,664,655,336,fist,
0.0117661952972,1574042583.69,452,888,665,655,335,fist,
0.0118420124054,1574042583.69,453,888,664,655,334,fist,
0.0119180679321,1574042583.69,454,889,665,654,337,fist,
0.011999130249,1574042583.69,451,888,664,654,333,fist,
0.0120761394501,1574042583.69,454,889,665,655,335,fist,
0.0121521949768,1574042583.69,453,889,664,655,335,fist,
0.012228012085,1574042583.69,452,888,664,655,333,fist,
0.0123040676117,1574042583.69,455,889,665,656,337,fist,
0.0123801231384,1574042583.69,453,889,665,655,334,fist,
0.0124561786652,1574042583.69,451,889,664,654,333,fist,
0.0125319957733,1574042583.69,454,889,665,656,337,fist,
0.0126080513,1574042583.69,452,888,665,654,334,fist,
0.0126841068268,1574042583.69,453,889,665,656,335,fist,
0.0127601623535,1574042583.69,453,889,666,656,336,fist,
0.0128359794617,1574042583.69,452,889,665,654,334,fist,
0.0129120349884,1574042583.69,453,889,666,653,337,fist,
0.0129880905151,1574042583.69,452,889,665,653,334,fist,
0.0130641460419,1574042583.69,452,890,665,653,335,fist,
0.0131402015686,1574042583.69,453,890,666,653,337,fist,
0.0132150650024,1574042583.69,451,890,664,654,333,fist,
0.0132920742035,1574042583.69,452,890,665,653,336,fist,
0.0133681297302,1574042583.69,452,890,665,652,335,fist,
0.013444185257,1574042583.69,451,890,665,653,332,fist,
0.0135200023651,1574042583.69,454,891,666,655,337,fist,
0.0135991573334,1574042583.69,451,891,666,653,333,fist,
0.0136761665344,1574042583.69,452,891,666,654,334,fist,
0.0137531757355,1574042583.69,453,892,667,655,337,fist,
0.0138289928436,1574042583.69,452,892,666,654,332,fist,
0.0139050483704,1574042583.69,453,891,666,654,336,fist,
0.0139811038971,1574042583.69,452,892,667,654,335,fist,
0.0140559673309,1574042583.69,452,892,665,655,333,fist,
0.0141320228577,1574042583.69,453,892,666,654,336,fist,
0.0142080783844,1574042583.69,451,892,665,652,334,fist,
0.0143020153046,1574042583.69,453,892,666,653,335,fist,
0.0143780708313,1574042583.69,452,892,666,653,337,fist,
0.014454126358,1574042583.69,451,891,665,652,333,fist,
0.0145301818848,1574042583.69,453,891,666,655,337,fist,
0.0146050453186,1574042583.69,452,891,666,655,335,fist,
0.0146811008453,1574042583.69,451,891,665,652,334,fist,
0.0147559642792,1574042583.69,452,891,666,655,337,fist,
0.0148320198059,1574042583.69,452,891,666,655,334,fist,
0.0149071216583,1574042583.69,451,891,664,653,335,fist,
0.0149831771851,1574042583.69,451,891,665,654,335,fist,
0.0150589942932,1574042583.69,451,890,665,655,333,fist,
0.0151350498199,1574042583.69,453,891,665,654,336,fist,
0.0152111053467,1574042583.69,451,892,665,656,334,fist,
0.0152871608734,1574042583.69,452,890,665,656,334,fist,
0.0153629779816,1574042583.69,453,891,666,657,336,fist,
0.0154390335083,1574042583.69,450,891,665,657,332,fist,
0.0155141353607,1574042583.69,453,891,666,657,335,fist,
0.0155901908875,1574042583.69,452,891,665,656,335,fist,
0.0156660079956,1574042583.69,451,891,665,655,332,fist,
0.0157420635223,1574042583.69,452,891,665,657,336,fist,
0.0158181190491,1574042583.69,451,891,665,654,334,fist,
0.0158941745758,1574042583.69,451,891,665,654,335,fist,
0.0159690380096,1574042583.69,452,891,665,656,337,fist,
0.0160491466522,1574042583.69,451,892,664,655,333,fist,
0.0161271095276,1574042583.69,452,890,665,655,336,fist,
0.0162031650543,1574042583.69,451,890,665,656,336,fist,
0.0162801742554,1574042583.69,452,891,665,655,335,fist,
0.0163550376892,1574042583.69,452,891,665,655,337,fist,
0.0164310932159,1574042583.69,451,890,665,654,335,fist,
0.0165071487427,1574042583.69,453,890,665,655,336,fist,
0.0165820121765,1574042583.69,452,891,665,655,336,fist,
0.0166580677032,1574042583.69,451,891,665,654,333,fist,
0.0167331695557,1574042583.69,453,891,665,653,337,fist,
0.0168089866638,1574042583.69,451,891,665,654,334,fist,
0.0168850421906,1574042583.69,451,891,665,653,334,fist,
0.016960144043,1574042583.69,453,892,665,655,337,fist,
0.0170361995697,1574042583.69,451,891,666,653,333,fist,
0.0171120166779,1574042583.69,453,891,666,654,336,fist,
0.0171871185303,1574042583.69,452,891,666,655,337,fist,
0.017263174057,1574042583.69,451,891,667,654,334,fist,
0.0173380374908,1574042583.69,453,890,665,655,337,fist,
0.0174140930176,1574042583.69,451,891,665,655,333,fist,
0.0174901485443,1574042583.69,452,891,666,655,334,fist,
0.0175650119781,1574042583.69,452,890,665,656,337,fist,
0.0176451206207,1574042583.69,450,891,665,656,333,fist,
0.0177211761475,1574042583.69,452,890,665,656,335,fist,
0.0177969932556,1574042583.69,451,889,665,656,334,fist,
0.0178740024567,1574042583.69,450,890,664,653,333,fist,
0.0179491043091,1574042583.69,452,890,665,654,336,fist,
0.0180251598358,1574042583.69,451,891,665,653,333,fist,
0.0181000232697,1574042583.69,452,891,665,652,334,fist,
0.0181760787964,1574042583.69,452,891,664,653,336,fist,
0.0182521343231,1574042583.69,451,890,664,653,333,fist,
0.0183281898499,1574042583.69,452,890,665,653,335,fist,
0.0184030532837,1574042583.69,451,889,664,654,334,fist,
0.0184800624847,1574042583.69,452,889,664,655,333,fist,
0.0185561180115,1574042583.7,453,888,664,655,335,fist,
0.0186321735382,1574042583.7,451,888,664,655,332,fist,
0.0187079906464,1574042583.7,453,888,664,656,334,fist,
0.0187849998474,1574042583.7,453,888,664,657,334,fist,
0.0188601016998,1574042583.7,451,887,664,656,331,fist,
0.0189361572266,1574042583.7,454,888,665,656,335,fist,
0.0190119743347,1574042583.7,451,888,664,656,333,fist,
0.0190870761871,1574042583.7,451,887,664,655,333,fist,
0.0191631317139,1574042583.7,453,887,665,657,338,fist,
0.0192391872406,1574042583.7,451,888,664,657,333,fist,
0.0193140506744,1574042583.7,452,887,664,657,335,fist,
0.0193891525269,1574042583.7,452,887,664,656,337,fist,
0.019464969635,1574042583.7,452,888,664,656,334,fist,
0.0195410251617,1574042583.7,453,888,664,656,336,fist,
0.0196170806885,1574042583.7,451,888,664,656,334,fist,
0.0196931362152,1574042583.7,453,887,664,655,335,fist,
0.0197691917419,1574042583.7,453,887,663,656,336,fist,
0.0198521614075,1574042583.7,451,887,664,654,333,fist,
0.0199279785156,1574042583.7,453,888,664,654,336,fist,
0.0200040340424,1574042583.7,453,887,664,654,335,fist,
0.0200800895691,1574042583.7,452,888,664,654,334,fist,
0.0201590061188,1574042583.7,454,888,664,655,337,fist,
0.020238161087,1574042583.7,453,887,664,655,334,fist,
0.0203151702881,1574042583.7,453,888,664,654,335,fist,
0.0203909873962,1574042583.7,454,888,664,655,337,fist,
0.020467042923,1574042583.7,452,888,664,655,333,fist,
0.0205430984497,1574042583.7,453,888,664,657,336,fist,
0.0206191539764,1574042583.7,453,888,664,655,335,fist,
0.0206949710846,1574042583.7,452,888,664,655,333,fist,
0.0207710266113,1574042583.7,454,888,664,656,337,fist,
0.0208470821381,1574042583.7,451,888,665,654,334,fist,
0.0209231376648,1574042583.7,453,888,664,657,336,fist,
0.0210001468658,1574042583.7,453,887,664,656,337,fist,
0.021075963974,1574042583.7,451,887,664,655,334,fist,
0.0211520195007,1574042583.7,454,888,664,656,337,fist,
0.0326480865479,1574042583.71,452,887,664,656,336,fist,
0.0571410655975,1574042583.73,452,887,664,655,335,fist,
0.0776731967926,1574042583.75,454,887,664,656,338,fist,
0.098179101944,1574042583.77,452,886,664,655,333,fist,
0.122665166855,1574042583.8,453,887,664,654,335,fist,
0.143181085587,1574042583.82,453,887,665,656,337,fist,
0.163697004318,1574042583.84,452,888,664,654,333,fist,
0.188191175461,1574042583.86,454,888,664,654,336,fist,
0.208731174469,1574042583.89,452,887,664,654,335,fist,
0.229249000549,1574042583.91,454,887,664,655,335,fist,
0.253746032715,1574042583.93,455,888,665,655,337,fist,
0.274255990982,1574042583.95,452,888,665,656,334,fist,
0.294776201248,1574042583.97,454,888,665,656,337,fist,
0.319343090057,1574042584.0,455,888,665,657,336,fist,
0.33984208107,1574042584.02,451,887,665,656,333,fist,
0.360329151154,1574042584.04,454,888,665,656,338,fist,
0.384836196899,1574042584.06,452,887,666,656,335,fist,
0.405379056931,1574042584.08,453,887,665,655,335,fist,
0.425868034363,1574042584.1,453,887,665,656,338,fist,
0.450366020203,1574042584.13,452,886,665,654,335,fist,
0.470931053162,1574042584.15,453,887,664,655,337,fist,
0.49142408371,1574042584.17,453,887,664,655,337,fist,
0.515914201736,1574042584.19,452,887,665,654,335,fist,
0.536412000656,1574042584.21,454,888,665,655,338,fist,
0.556959152222,1574042584.23,453,888,664,654,335,fist,
0.581439971924,1574042584.26,453,888,664,655,336,fist,
0.601953983307,1574042584.28,454,888,664,656,336,fist,
0.622475147247,1574042584.3,453,888,664,654,334,fist,
0.646927118301,1574042584.32,455,888,665,655,337,fist,
0.66748213768,1574042584.34,454,888,665,655,336,fist,
0.688084125519,1574042584.36,453,889,665,654,334,fist,
0.712517023087,1574042584.39,455,888,665,655,338,fist,
0.733057975769,1574042584.41,453,888,665,655,334,fist,
0.753549098969,1574042584.43,453,888,664,654,336,fist,
0.778038978577,1574042584.45,454,888,666,654,338,fist,
0.798583984375,1574042584.48,453,888,665,651,333,fist,
0.819075107574,1574042584.5,454,888,663,644,337,fist,
0.843564987183,1574042584.52,451,887,663,640,335,fist,
0.864103078842,1574042584.54,452,883,660,632,333,fist,
0.884618997574,1574042584.56,451,877,656,605,333,fist,
0.909137010574,1574042584.59,448,872,651,571,327,fist,
0.929655075073,1574042584.61,450,864,645,535,327,fist,
0.95015501976,1574042584.63,450,859,634,499,324,fist,
0.974651098251,1574042584.65,448,853,626,473,319,fist,
0.995179176331,1574042584.67,450,848,621,455,321,fist,
1.01567411423,1574042584.69,449,846,616,443,317,fist,
1.04016900063,1574042584.72,450,843,611,429,315,fist,
1.06070518494,1574042584.74,451,841,609,426,318,fist,
1.08119916916,1574042584.76,450,838,605,418,314,fist,
1.10570502281,1574042584.78,451,838,604,410,316,fist,
1.12631201744,1574042584.8,450,836,602,411,315,fist,
1.14674806595,1574042584.82,450,835,601,408,313,fist,
1.17123913765,1574042584.85,451,834,600,405,316,fist,
1.19179606438,1574042584.87,449,833,599,402,312,fist,
