delta Time, Unix Time, pr1, pr2, pr3, pr4, pr5, label
0.00102615356445,1574042892.27,444,882,650,646,336,fist,
0.00150799751282,1574042892.27,445,882,650,646,338,fist,
0.00197005271912,1574042892.27,446,88882,650,650,340,fist,
0.00248003005981,1574042892.27,445,882,650,649,337,fist,
0.00290703773499,1574042892.27,446,882,650,648,337,fist,
0.00332713127136,1574042892.27,447,882,650,647,339,fist,
0.00374317169189,1574042892.27,444,882,650,646,336,fist,
0.0041561126709,1574042892.27,445,882,650,646,338,fist,
0.00460696220398,1574042892.27,446,88882,650,650,340,fist,
0.00502514839172,1574042892.27,445,882,650,649,337,fist,
0.00535798072815,1574042892.27,446,882,650,648,337,fist,
0.00543308258057,1574042892.27,447,882,650,647,339,fist,
0.00550603866577,1574042892.27,444,882,650,646,336,fist,
0.00558018684387,1574042892.27,445,882,650,646,338,fist,
0.49180316925,1574042892.76,446,88450,867,648,620,fist,
0.516364097595,1574042892.78,450,867,649,620,347,fist,
0.536839962006,1574042892.8,450,867,648,619,346,fist,
0.557327985764,1574042892.83,448,867,648,616,342,fist,
0.581856966019,1574042892.85,449,865,648,613,343,fist,
0.602423191071,1574042892.87,450,864,647,612,346,fist,
0.622855186462,1574042892.89,449,862,647,612,344,fist,
0.647369146347,1574042892.92,451,861,648,612,348,fist,
0.667879104614,1574042892.94,451,859,648,612,349,fist,
0.688428163528,1574042892.96,450,859,647,613,346,fist,
0.712917089462,1574042892.98,453,858,647,614,352,fist,
0.733426094055,1574042893.0,451,856,646,613,349,fist,
0.753942012787,1574042893.02,452,856,646,612,348,fist,
0.778366088867,1574042893.05,453,855,644,611,351,fist,
0.7989590168,1574042893.07,452,855,644,608,347,fist,
0.819452047348,1574042893.09,453,855,644,606,350,fist,
0.843952178955,1574042893.11,453,856,643,605,349,fist,
0.86448097229,1574042893.13,454,857,642,604,347,fist,
0.884994029999,1574042893.15,456,858,643,602,349,fist,
0.909489154816,1574042893.18,454,859,642,602,348,fist,
0.930011034012,1574042893.2,457,861,642,602,351,fist,
0.950530052185,1574042893.22,456,863,642,602,352,fist,
0.975037097931,1574042893.24,456,863,642,601,349,fist,
0.995534181595,1574042893.26,458,864,642,601,351,fist,
1.01605510712,1574042893.28,455,864,641,599,349,fist,
1.04056596756,1574042893.31,455,863,642,598,348,fist,
1.06107902527,1574042893.33,456,863,641,597,351,fist,
1.08158707619,1574042893.35,454,862,641,594,346,fist,
1.10609197617,1574042893.37,455,863,640,594,347,fist,
1.12658500671,1574042893.39,454,862,639,592,348,fist,
1.14711403847,1574042893.41,454,863,639,591,345,fist,
1.17161512375,1574042893.44,455,864,639,592,348,fist,
1.19213604927,1574042893.46,454,865,638,591,347,fist,
1.21263313293,1574042893.48,455,865,638,591,347,fist,
1.23713898659,1574042893.5,456,866,638,591,349,fist,
1.2576611042,1574042893.53,453,866,638,590,345,fist,
1.27816009521,1574042893.55,455,867,638,591,347,fist,
1.30267214775,1574042893.57,454,866,638,591,346,fist,
1.32318210602,1574042893.59,453,867,637,590,343,fist,
1.34368419647,1574042893.61,455,867,638,591,347,fist,
1.36820816994,1574042893.64,452,866,638,591,343,fist,
1.38873505592,1574042893.66,453,867,638,592,343,fist,
1.40923714638,1574042893.68,453,867,638,593,344,fist,
1.43374300003,1574042893.7,451,866,638,592,341,fist,
1.45426297188,1574042893.72,454,866,639,594,346,fist,
1.47475600243,1574042893.74,452,867,638,595,343,fist,
1.49926900864,1574042893.77,452,866,639,595,344,fist,
1.51976704597,1574042893.79,453,867,639,595,347,fist,
1.54028010368,1574042893.81,451,866,639,594,343,fist,
1.56479597092,1574042893.83,452,867,639,595,344,fist,
1.58538913727,1574042893.85,452,868,639,593,344,fist,
1.60583209991,1574042893.87,450,867,637,592,339,fist,
1.6303601265,1574042893.9,453,868,638,593,344,fist,
1.65086197853,1574042893.92,451,868,637,592,340,fist,
1.67142796516,1574042893.94,451,869,638,590,340,fist,
1.69587111473,1574042893.96,453,870,638,591,343,fist,
1.71638798714,1574042893.98,451,870,637,589,339,fist,
1.73690104485,1574042894.0,453,870,638,589,342,fist,
1.76140117645,1574042894.03,453,870,639,591,343,fist,
1.78190803528,1574042894.05,452,871,638,592,342,fist,
1.80247497559,1574042894.07,453,871,639,593,346,fist,
1.8269431591,1574042894.09,451,870,638,592,343,fist,
1.84746098518,1574042894.12,453,870,638,593,343,fist,
1.86796212196,1574042894.14,452,870,638,593,344,fist,
1.89247107506,1574042894.16,450,870,638,592,340,fist,
1.91298413277,1574042894.18,453,870,638,594,344,fist,
1.93350696564,1574042894.2,452,869,638,593,342,fist,
1.95797300339,1574042894.23,450,869,637,591,339,fist,
1.97848510742,1574042894.25,452,869,637,592,342,fist,
1.99902701378,1574042894.27,451,870,637,591,339,fist,
2.02352118492,1574042894.29,452,870,637,592,340,fist,
2.0440621376,1574042894.31,453,870,638,594,343,fist,
2.06457710266,1574042894.33,451,869,638,595,340,fist,
2.08907413483,1574042894.36,453,870,638,595,343,fist,
2.10958504677,1574042894.38,451,870,638,594,341,fist,
2.13010716438,1574042894.4,451,870,638,593,340,fist,
2.15460109711,1574042894.42,452,870,639,593,344,fist,
2.17511415482,1574042894.44,449,869,637,592,339,fist,
2.19564604759,1574042894.46,451,870,637,593,341,fist,
2.22012209892,1574042894.49,451,870,637,592,341,fist,
2.24065899849,1574042894.51,449,870,637,590,338,fist,
2.26118206978,1574042894.53,452,870,637,591,342,fist,
2.28567004204,1574042894.55,450,870,637,590,338,fist,
2.30617117882,1574042894.57,449,869,636,590,338,fist,
2.32670617104,1574042894.59,452,870,637,590,341,fist,
2.35120201111,1574042894.62,450,870,637,591,338,fist,
2.37170910835,1574042894.64,452,870,637,590,341,fist,
2.39223003387,1574042894.66,451,870,637,591,340,fist,
2.41672205925,1574042894.68,451,870,637,591,337,fist,
2.43723106384,1574042894.71,452,870,637,591,340,fist,
2.45777797699,1574042894.73,450,871,637,591,337,fist,
2.48227000237,1574042894.75,451,870,638,592,338,fist,
2.50279998779,1574042894.77,451,870,638,593,339,fist,
2.52331113815,1574042894.79,449,871,637,592,336,fist,
2.54782009125,1574042894.82,451,870,637,593,340,fist,
2.5683400631,1574042894.84,451,871,637,592,338,fist,
2.58884906769,1574042894.86,450,870,637,592,337,fist,
2.61336803436,1574042894.88,452,871,637,593,342,fist,
2.63386106491,1574042894.9,451,871,637,593,339,fist,
2.6543700695,1574042894.92,451,871,637,594,340,fist,
2.67889118195,1574042894.95,451,871,637,595,341,fist,
2.6994099617,1574042894.97,450,871,636,594,338,fist,
2.71992611885,1574042894.99,451,871,636,594,341,fist,
2.74438405037,1574042895.01,449,871,636,595,338,fist,
2.76493406296,1574042895.03,450,871,636,593,338,fist,
2.78545498848,1574042895.05,451,871,636,594,339,fist,
2.80994319916,1574042895.08,449,871,636,594,335,fist,
2.8304541111,1574042895.1,451,871,637,595,339,fist,
2.85097908974,1574042895.12,450,871,636,595,337,fist,
2.87547016144,1574042895.14,450,871,636,595,335,fist,
2.89598798752,1574042895.16,452,871,636,596,340,fist,
2.9164981842,1574042895.18,450,872,637,597,338,fist,
2.9410200119,1574042895.21,451,871,637,598,338,fist,
2.96148610115,1574042895.23,452,872,638,598,340,fist,
2.98202800751,1574042895.25,450,871,638,596,337,fist,
3.006524086,1574042895.27,451,871,638,596,339,fist,
3.02703809738,1574042895.29,450,872,637,596,338,fist,
3.04756116867,1574042895.32,450,871,638,596,336,fist,
3.07204198837,1574042895.34,451,871,637,597,339,fist,
3.09256219864,1574042895.36,449,871,638,597,336,fist,
3.11310505867,1574042895.38,450,871,636,598,337,fist,
3.1375951767,1574042895.41,450,871,637,598,338,fist,
3.15811109543,1574042895.43,449,871,637,597,336,fist,
3.17861199379,1574042895.45,451,872,638,600,340,fist,
3.20312309265,1574042895.47,450,871,638,600,338,fist,
3.22363805771,1574042895.49,450,872,638,600,339,fist,
3.24413204193,1574042895.51,452,871,638,601,342,fist,
3.26864910126,1574042895.54,450,871,638,600,338,fist,
3.28916215897,1574042895.56,451,871,638,602,340,fist,
3.30967402458,1574042895.58,450,871,638,600,339,fist,
3.33419203758,1574042895.6,449,871,638,600,337,fist,
3.35468101501,1574042895.62,451,871,637,601,339,fist,
3.37522506714,1574042895.64,449,871,637,599,337,fist,
3.39973711967,1574042895.67,450,871,638,600,337,fist,
3.42023396492,1574042895.69,451,870,638,601,339,fist,
3.44076800346,1574042895.71,450,871,638,600,336,fist,
3.46526813507,1574042895.73,451,871,639,602,339,fist,
3.48578500748,1574042895.75,451,871,639,603,339,fist,
3.50630307198,1574042895.77,450,871,639,603,338,fist,
