time, pr1, pr2, pr3, pr4, pr5,TRUE LABEL
0.004705191,454,888,664,656,337,0
0.005181074,453,888,664,655,333,0
0.005676031,455,888,664,655,338,0
0.006113052,454,888,664,654,335,0
0.007001162,454,888,664,656,336,0
0.007439137,454,888,664,656,337,0
0.007884026,453,888,664,655,333,0
0.008322001,455,888,664,655,338,0
0.008752108,454,888,664,654,335,0
0.00940299,452,885,665,655,336,0
0.00948,452,885,664,652,334,0
0.009556055,451,885,665,655,332,0
0.009637117,452,885,664,653,333,0
0.009714127,452,886,664,654,335,0
0.009790182,451,886,665,655,332,0
0.009867191,453,886,665,655,335,0
0.009943008,452,886,664,654,335,0
0.010019064,450,886,664,655,332,0
0.010095119,454,887,665,655,337,0
0.010172129,452,887,665,656,334,0
0.010248184,452,887,664,657,334,0
0.010324001,453,887,665,654,337,0
0.010400057,452,887,664,654,333,0
0.010475159,453,888,664,655,335,0
0.010552168,453,888,665,654,336,0
0.010627985,452,888,665,654,333,0
0.010703087,454,888,665,655,336,0
0.010779142,452,888,664,654,333,0
0.010855198,453,888,665,654,334,0
0.010931015,454,888,665,655,337,0
0.011007071,452,888,664,654,332,0
0.011083126,454,888,665,656,336,0
0.011160135,453,888,665,655,335,0
0.011236191,452,888,665,655,333,0
0.011312008,454,889,666,656,337,0
0.011388063,452,888,665,655,334,0
0.011464119,452,888,665,655,335,0
0.011540174,454,888,666,656,337,0
0.011615992,451,888,664,655,333,0
0.011691093,453,888,664,655,336,0
0.011766195,452,888,665,655,335,0
0.011842012,453,888,664,655,334,0
0.011918068,454,889,665,654,337,0
0.01199913,451,888,664,654,333,0
0.012076139,454,889,665,655,335,0
0.012152195,453,889,664,655,335,0
0.012228012,452,888,664,655,333,0
0.012304068,455,889,665,656,337,0
0.012380123,453,889,665,655,334,0
0.012456179,451,889,664,654,333,0
0.012531996,454,889,665,656,337,0
0.012608051,452,888,665,654,334,0
0.012684107,453,889,665,656,335,0
0.012760162,453,889,666,656,336,0
0.012835979,452,889,665,654,334,0
0.012912035,453,889,666,653,337,0
0.012988091,452,889,665,653,334,0
0.013064146,452,890,665,653,335,0
0.013140202,453,890,666,653,337,0
0.013215065,451,890,664,654,333,0
0.013292074,452,890,665,653,336,0
0.01336813,452,890,665,652,335,0
0.013444185,451,890,665,653,332,0
0.013520002,454,891,666,655,337,0
0.013599157,451,891,666,653,333,0
0.013676167,452,891,666,654,334,0
0.013753176,453,892,667,655,337,0
0.013828993,452,892,666,654,332,0
0.013905048,453,891,666,654,336,0
0.013981104,452,892,667,654,335,0
0.014055967,452,892,665,655,333,0
0.014132023,453,892,666,654,336,0
0.014208078,451,892,665,652,334,0
0.014302015,453,892,666,653,335,0
0.014378071,452,892,666,653,337,0
0.014454126,451,891,665,652,333,0
0.014530182,453,891,666,655,337,0
0.014605045,452,891,666,655,335,0
0.014681101,451,891,665,652,334,0
0.014755964,452,891,666,655,337,0
0.01483202,452,891,666,655,334,0
0.014907122,451,891,664,653,335,0
0.014983177,451,891,665,654,335,0
0.015058994,451,890,665,655,333,0
0.01513505,453,891,665,654,336,0
0.015211105,451,892,665,656,334,0
0.015287161,452,890,665,656,334,0
0.015362978,453,891,666,657,336,0
0.015439034,450,891,665,657,332,0
0.015514135,453,891,666,657,335,0
0.015590191,452,891,665,656,335,0
0.015666008,451,891,665,655,332,0
0.015742064,452,891,665,657,336,0
0.015818119,451,891,665,654,334,0
0.015894175,451,891,665,654,335,0
0.015969038,452,891,665,656,337,0
0.016049147,451,892,664,655,333,0
0.01612711,452,890,665,655,336,0
0.016203165,451,890,665,656,336,0
0.016280174,452,891,665,655,335,0
0.016355038,452,891,665,655,337,0
0.016431093,451,890,665,654,335,0
0.016507149,453,890,665,655,336,0
0.016582012,452,891,665,655,336,0
0.016658068,451,891,665,654,333,0
0.01673317,453,891,665,653,337,0
0.016808987,451,891,665,654,334,0
0.016885042,451,891,665,653,334,0
0.016960144,453,892,665,655,337,0
0.0170362,451,891,666,653,333,0
0.017112017,453,891,666,654,336,0
0.017187119,452,891,666,655,337,0
0.017263174,451,891,667,654,334,0
0.017338037,453,890,665,655,337,0
0.017414093,451,891,665,655,333,0
0.017490149,452,891,666,655,334,0
0.017565012,452,890,665,656,337,0
0.017645121,450,891,665,656,333,0
0.017721176,452,890,665,656,335,0
0.017796993,451,889,665,656,334,0
0.017874002,450,890,664,653,333,0
0.017949104,452,890,665,654,336,0
0.01802516,451,891,665,653,333,0
0.018100023,452,891,665,652,334,0
0.018176079,452,891,664,653,336,0
0.018252134,451,890,664,653,333,0
0.01832819,452,890,665,653,335,0
0.018403053,451,889,664,654,334,0
0.018480062,452,889,664,655,333,0
0.018556118,453,888,664,655,335,0
0.018632174,451,888,664,655,332,0
0.018707991,453,888,664,656,334,0
0.018785,453,888,664,657,334,0
0.018860102,451,887,664,656,331,0
0.018936157,454,888,665,656,335,0
0.019011974,451,888,664,656,333,0
0.019087076,451,887,664,655,333,0
0.019163132,453,887,665,657,338,0
0.019239187,451,888,664,657,333,0
0.019314051,452,887,664,657,335,0
0.019389153,452,887,664,656,337,0
0.01946497,452,888,664,656,334,0
0.019541025,453,888,664,656,336,0
0.019617081,451,888,664,656,334,0
0.019693136,453,887,664,655,335,0
0.019769192,453,887,663,656,336,0
0.019852161,451,887,664,654,333,0
0.019927979,453,888,664,654,336,0
0.020004034,453,887,664,654,335,0
0.02008009,452,888,664,654,334,0
0.020159006,454,888,664,655,337,0
0.020238161,453,887,664,655,334,0
0.02031517,453,888,664,654,335,0
0.020390987,454,888,664,655,337,0
0.020467043,452,888,664,655,333,0
0.020543098,453,888,664,657,336,0
0.020619154,453,888,664,655,335,0
0.020694971,452,888,664,655,333,0
0.020771027,454,888,664,656,337,0
0.020847082,451,888,665,654,334,0
0.020923138,453,888,664,657,336,0
0.021000147,453,887,664,656,337,0
0.021075964,451,887,664,655,334,0
0.02115202,454,888,664,656,337,0
0.032648087,452,887,664,656,336,0
0.057141066,452,887,664,655,335,0
0.077673197,454,887,664,656,338,0
0.098179102,452,886,664,655,333,0
0.122665167,453,887,664,654,335,0
0.143181086,453,887,665,656,337,0
0.163697004,452,888,664,654,333,0
0.188191175,454,888,664,654,336,0
0.208731174,452,887,664,654,335,0
0.229249001,454,887,664,655,335,0
0.253746033,455,888,665,655,337,0
0.274255991,452,888,665,656,334,0
0.294776201,454,888,665,656,337,0
0.31934309,455,888,665,657,336,0
0.339842081,451,887,665,656,333,0
0.360329151,454,888,665,656,338,0
0.384836197,452,887,666,656,335,0
0.405379057,453,887,665,655,335,0
0.425868034,453,887,665,656,338,0
0.45036602,452,886,665,654,335,0
0.470931053,453,887,664,655,337,0
0.491424084,453,887,664,655,337,0
0.515914202,452,887,665,654,335,0
0.536412001,454,888,665,655,338,0
0.556959152,453,888,664,654,335,0
0.581439972,453,888,664,655,336,0
0.601953983,454,888,664,656,336,0
0.622475147,453,888,664,654,334,0
0.646927118,455,888,665,655,337,0
0.667482138,454,888,665,655,336,0
0.688084126,453,889,665,654,334,0
0.712517023,455,888,665,655,338,0
0.733057976,453,888,665,655,334,0
0.753549099,453,888,664,654,336,0
0.778038979,454,888,666,654,338,0
0.798583984,453,888,665,651,333,0
0.819075108,454,888,663,644,337,0
0.843564987,451,887,663,640,335,0
0.864103079,452,883,660,632,333,0
0.884618998,451,877,656,605,333,0
0.909137011,448,872,651,571,327,1
0.929655075,450,864,645,535,327,1
0.95015502,450,859,634,499,324,2
0.974651098,448,853,626,473,319,2
0.995179176,450,848,621,455,321,2
1.015674114,449,846,616,443,317,2
1.040169001,450,843,611,429,315,2
1.060705185,451,841,609,426,318,2
1.081199169,450,838,605,418,314,2
1.105705023,451,838,604,410,316,2
1.126312017,450,836,602,411,315,2
1.146748066,450,835,601,408,313,2
1.171239138,451,834,600,405,316,2
1.191796064,449,833,599,402,312,2
1.212274075,450,833,598,403,313,2
1.236736059,448,833,598,399,314,2
1.257201195,448,832,597,397,310,2
1.277721167,449,832,596,401,313,2
1.30232811,449,832,596,395,311,2
1.322834969,449,831,596,394,310,2
1.343333006,451,831,596,397,314,2
1.367818117,449,832,596,395,310,2
1.388380051,450,831,596,394,311,2
1.408856153,451,832,595,396,312,2
1.433343172,449,832,596,396,309,2
1.453886032,451,831,595,396,313,2
1.474403143,449,831,596,398,311,2
1.498876095,450,831,595,399,309,2
1.519414186,449,830,596,398,312,2
1.539927006,448,830,596,396,308,2
1.56438899,449,830,596,397,312,2
1.58495903,448,830,595,397,311,2
1.605453014,448,830,595,396,308,2
1.629943132,450,830,596,397,313,2
1.650485039,448,830,596,397,310,2
1.670978069,449,830,596,396,309,2
1.695470095,450,831,595,399,312,2
1.716006994,448,830,595,399,308,2
1.736538172,450,830,595,398,312,2
1.761023998,449,829,595,400,311,2
1.781563044,449,830,594,401,308,2
1.802081108,450,829,595,399,311,2
1.826585054,448,829,595,400,309,2
1.847123146,449,829,596,402,310,2
1.867606163,449,829,596,398,311,2
1.892096043,448,829,595,399,308,2
1.912635088,450,829,596,401,312,2
1.93313098,449,829,595,400,310,2
1.957633018,449,828,595,398,310,2
1.978185177,451,829,596,399,312,2
1.998687029,447,829,594,402,308,2
2.023161173,450,829,595,397,311,2
2.043663979,450,829,596,398,311,2
2.064160109,449,829,596,402,308,2
2.088649035,451,830,596,400,312,2
2.10919404,449,829,596,400,310,2
2.129703999,449,829,596,403,309,2
2.154174089,449,829,597,403,311,2
2.174718142,448,829,597,403,309,2
2.195235014,449,829,598,406,312,2
2.219727993,448,829,597,403,309,2
2.240252018,448,829,597,403,308,2
2.260821104,449,829,597,406,312,2
2.28530407,448,828,596,405,308,2
2.305850983,449,828,594,400,309,2
