delta Time, Unix Time, pr1, pr2, pr3, pr4, pr5, label
1.14081311226,1579557265.56,656,888,623,660,664,extend,
1.14129018784,1579557265.56,658,888,625,660,667,extend,
1.14173817635,1579557265.56,659,888,625,660,669,extend,
1.14215612411,1579557265.56,660,888,625,658,671,extend,
1.14255619049,1579557265.56,662,888,625,659,672,extend,
1.64991211891,1579557266.07,667,891,625,661,678,extend,
1.67445707321,1579557266.09,667,890,625,660,674,extend,
1.69928812981,1579557266.12,667,890,625,659,676,extend,
1.71974897385,1579557266.14,667,890,624,660,677,extend,
1.74415612221,1579557266.16,669,888,622,657,679,extend,
1.76476597786,1579557266.19,671,886,619,651,684,extend,
1.78913497925,1579557266.21,676,883,618,645,688,extend,
1.81378602982,1579557266.23,678,879,615,636,691,extend,
1.83397912979,1579557266.25,679,873,610,622,692,extend,
1.85883998871,1579557266.28,676,868,604,603,689,extend,
1.87940216064,1579557266.3,671,861,597,580,684,extend,
1.90407204628,1579557266.32,667,854,589,556,681,extend,
1.92809915543,1579557266.35,667,847,582,533,679,extend,
1.94868803024,1579557266.37,669,843,576,508,684,extend,
1.97320413589,1579557266.39,674,839,574,489,689,extend,
1.99375510216,1579557266.41,675,836,570,479,690,extend,
2.01856803894,1579557266.44,675,834,567,470,691,extend,
2.03919219971,1579557266.46,676,833,564,466,691,extend,
2.06371617317,1579557266.48,676,832,564,466,693,extend,
2.08783698082,1579557266.51,676,831,563,466,694,extend,
2.10865902901,1579557266.53,676,830,561,463,693,extend,
2.13300204277,1579557266.55,676,830,561,463,693,extend,
2.15364599228,1579557266.57,677,830,562,464,694,extend,
2.17837905884,1579557266.6,678,829,564,465,696,extend,
2.20290398598,1579557266.62,678,828,562,463,696,extend,
2.22337007523,1579557266.64,679,828,562,463,696,extend,
2.24775910378,1579557266.67,678,828,561,466,695,extend,
2.26843309402,1579557266.69,678,827,562,465,696,extend,
2.29265904427,1579557266.71,678,826,560,463,695,extend,
2.31758308411,1579557266.74,677,826,561,465,694,extend,
