delta Time, Unix Time, pr1, pr2, pr3, pr4, pr5
0.00105619430542,1577147192.12,457,897,638,705,296
0.00166916847229,1577147192.12,459,898,639,703,296
0.00221800804138,1577147192.12,458,897,639,704,294
0.00327610969543,1577147192.12,459,898,639,704,297
0.00377917289734,1577147192.12,460,897,639,704,296
0.00424909591675,1577147192.12,457,897,638,705,296
0.00471520423889,1577147192.12,459,898,639,703,296
0.00517916679382,1577147192.12,458,897,639,704,294
0.00554704666138,1577147192.12,460,897,639,706,297
0.00570511817932,1577147192.13,460,898,639,705,296
0.00586318969727,1577147192.13,457,897,638,704,293
0.00602006912231,1577147192.13,460,897,639,706,295
0.00617814064026,1577147192.13,460,898,637,706,296
0.0063362121582,1577147192.13,458,897,639,705,295
0.00649309158325,1577147192.13,458,897,638,705,294
0.00666308403015,1577147192.13,458,897,638,704,293
0.00682306289673,1577147192.13,460,899,640,706,296
0.00698018074036,1577147192.13,459,898,639,706,294
0.00713801383972,1577147192.13,457,897,639,705,293
0.00729513168335,1577147192.13,459,898,639,706,295
0.0074520111084,1577147192.13,458,899,639,705,295
0.00760912895203,1577147192.13,457,898,639,706,293
0.00776505470276,1577147192.13,459,897,639,705,294
0.0079231262207,1577147192.13,458,898,638,705,294
0.00808119773865,1577147192.13,459,898,640,705,296
0.0082380771637,1577147192.13,459,899,640,706,294
0.00839519500732,1577147192.13,458,899,638,704,293
0.00855207443237,1577147192.13,459,900,639,706,295
0.008709192276,1577147192.13,459,899,640,706,295
0.00886702537537,1577147192.13,459,898,638,706,295
0.00902414321899,1577147192.13,459,899,639,705,294
0.00918197631836,1577147192.13,458,899,639,704,293
0.00933909416199,1577147192.13,460,899,639,707,295
0.00949621200562,1577147192.13,459,899,639,705,296
0.00965309143066,1577147192.13,456,899,638,704,292
0.00981020927429,1577147192.13,459,897,640,705,295
0.00996708869934,1577147192.13,460,898,639,707,296
0.0101251602173,1577147192.13,457,899,639,706,295
0.0102829933167,1577147192.13,459,898,640,705,295
0.0104401111603,1577147192.13,459,898,639,706,294
0.0105981826782,1577147192.13,459,898,639,707,297
0.0107641220093,1577147192.13,458,899,640,706,295
0.0109691619873,1577147192.13,457,898,639,706,292
0.0112171173096,1577147192.13,459,899,640,708,296
0.0114731788635,1577147192.13,459,898,640,707,296
0.0117251873016,1577147192.13,457,899,639,708,293
0.0119030475616,1577147192.13,458,898,641,708,294
0.0120739936829,1577147192.13,458,899,640,710,294
